name,comp,chara,main_bene,adap_ill,usage,pre_cares
"环酯红霉素干混悬剂（澳抒达）
                    ",本品主要适用于：,"
                        规格：0.15g*6袋
                    ","本品主要成份为环酯红霉素。化学名称：（2R,3S,4S,5R,6R,8R,9R,10R,11R,12S,13R)-3-[(2,6-二脱氧-3-C-甲基-3-O-甲基-α-L-核-己吡喃羰基)氧]-13-乙基-9-羟基-2，4，6，8,10,12-六甲基-5-[(3,4,6-三脱氧-3-(二甲胺基)-β-D-木-己吡喃羰基)氧]-14-氧杂十四元环-6,9-氧-1,9-二酮环11,12-碳酸酯。
                        ",本品的不良反应发生率较低，少数患者可能发生腹部不适、恶心、呕吐、腹泻、皮肤潮红、嗜酸粒细胞增多、发热，极少数患者可能发生可逆性听力损伤、伪膜性结肠炎、肝功能损伤。长期和反复使用本品可导致非敏感细菌(艰难梭菌)和霉菌(白色念珠菌)的过度生长。,将本品倒入杯中，加入适量凉开水，充分摇匀后口服。每12小时服用一次，空腹服用。,1.对本品及其他大环内酯类药物过敏者禁用。
"磷酸奥司他韦干混悬剂
                    ","1.用于成人和2周及以上儿童的甲型和乙型流感治疗(磷酸奥司他韦能够有效治疗甲型和乙型流感,但是乙型流感的临床应用数据尚不多)。患者应在首次出现症状48小时以内使用。","
                        规格：0.36g(按C16H28N2O4计)
                    ","本品活性成份为磷酸奥司他韦。
化学名称:(3R,4R,5S)-4-乙酰氨基-5-氨基-3-(1-乙基丙氧基)-1-环己烯-1-羧酸乙酯磷酸盐
分子式:C16H28N2O4 · H3PO4
分子量:410.40
辅料:山梨醇、黄原胶、无水枸橼酸单钠、糖精钠、苯甲酸钠、二氧化钛、混合浆果味香精。
                        ",详见说明书,"磷酸奥司他韦可以与食物同服或分开服用。但对一些病人,进食同时服药可","1.精神神经性不良事件,流感可能会引起许多神经和行为症状,包括幻觉、谵妄和行为异常,有些病例中,还会引发致命性结果。这些事件可能出现在脑炎或脑病背景下,但也可能出现在无明显严重疾病的情况下。"
"参术儿康糖浆
                    ",健脾和胃，益气养血。用于脾胃虚弱所致的小儿疳积，食欲不振，睡眠不安，多汗及营养不良性贫血。,"
                        规格：每瓶装10毫升
                    ","白术（麸炒） 、茯苓、山楂（炒） 、山药（炒） 、白扁豆（炒） 、六神曲（炒） 、麦芽（炒） 、炙黄芪、太子参、蜂王浆、 制何首乌、当归等16昧。
                        ",尚不明确。,口服，二岁以下一次10~15毫升;三至四岁一次20毫升;五至六岁一次30毫升，一日3次。,1.忌食生冷油腻及不易消化食物。2.婴儿应在医师指导下服用。3.感冒时不宜服用。4.长期厌食，体弱消瘦者，应去医院就诊。5.患儿如自汗多、夜寐易惊、睡少等应注意是否为佝偻病，以免延误治疗。6.服药7天症状无缓解，应去医院就诊。7.对本品过敏....
"健儿强骨颗粒
                    ",健脾益气，补肾壮骨。用于儿童佝偻病及因缺钙导致的其他症状。,"
                        规格：每袋装5g
                    ","牡蛎、党参、麦冬、白术、大枣。辅料为蔗糖、糊精。
                        ",尚不明确。,开水冲服。一次1—2袋，一日3次。,['无']
"磷酸奥司他韦颗粒
                    ",1.用于成人和1岁及1岁以上儿童的甲型和乙型流感治疗（磷酸奥司他韦能够有效治疗甲型和乙型流感，但是乙型流感的临床应用数据尚不多）。,"
                        规格：15mg(以奥司他韦计)
                    ","本品主要成份为磷酸奥司他韦。

                        ",皮肤和皮下组织改变：有极少病例报告出现过敏反应，中毒性表皮坏死，Stevens-Johnson综合征，多形性红斑，发红（皮疹），皮炎和大疱疹。 肝脏和胆道：有极少病例报告有流感样疾病的患者出现了肝炎和肝酶升高。 有个案报道出现了胰腺炎、血管....,本品用温开水完全溶解后口服。 磷酸奥司他韦可以与食物同服或分开服用。但对一些病人，进食同时服药可提高药物的耐受性。 流感的治疗 在流感症状开始的第一天或第二天（理想状态为36小时内）就应开始治疗。 剂量指导 成人和青少年 磷酸奥司他韦在成人....,1．自磷酸奥司他韦上市后，陆续收到流感患者使用磷酸奥司他韦治疗发生自我伤害和谵妄事件的报告，大部分报告来自日本，主要是儿科患者，但磷酸奥司他韦与这些事件的相关性还不清楚。在使用该药物治疗期间，应该对患者的自我伤害和谵妄事件等异常行为进行密切....
"小儿清肺化痰颗粒
                    ",清热化痰，止咳平喘。用于小儿肺热感冒引起的咳嗽痰喘。,"
                        规格：每袋装6克
                    ","麻黄、石膏、苦杏仁、前胡、黄芩、紫苏子（炒）、葶苈子、竹茹。辅料为蔗糖粉、糊精
                        ",尚不明确。,开水冲服，周岁以下一次3克，1~5岁一次6克，5岁以上一次9~12克，一日2~3次。,1.忌食辛辣、生冷、油腻食物。2.婴儿应在医师指导下服用。3.患有高血压、心脏病等疾患者均应慎用。脾虚易腹泻者慎服。4.风寒袭肺咳嗽不适用，症见发热恶寒、鼻流清涕、咳嗽痰白等。5.服药3天症状无缓解，应去医院就诊。6.对本品过敏者禁用，过敏....
"神曲消食口服液
                    ",消食健胃，健脾理气，用于喂养不当或饮食不节引起的儿童脾胃虚弱，饮食积滞证出现的厌食，食欲不振，食量减少等。,"
                        规格：每1ml相当于饮片0.733g
                    ","焦神曲、焦山楂、焦麦芽、白芍、党参、茯苓、麸炒白术、木香、砂仁、醋 延胡索、炙甘草。辅料为：聚山梨酯 80、山梨酸、三氯蔗糖。
                        ",少数患儿用药后可出现皮疹、皮肤瘙痒、腹泻等。,口服。餐后半小时服用，1～4岁，一次5ml，一日3次；5-14岁，一次10ml，一日3次。疗程为2周。,1、本品临床试验未观察神经性厌食症或由其他疾病所致的小儿厌食的有效性和安全性。
"葡萄糖酸钙口服溶液(无糖型)
                    ",用于预防和治疗钙缺乏症，如骨质疏松、手足抽搐症、骨发育不全、佝偻病以及儿童、妊娠和哺乳期妇女、绝经期妇女、老年人钙的补充。,"
                        规格：无糖型 10ml*20支 
                    ","每毫升含主要成份葡萄糖酸钙100mg(相当于钙9mg)，辅料为乳酸，氢氧化钙，阿司帕坦，香精。
                        ",偶见便秘。,口服。一次10～20毫升，一日3次。,1.心肾功能不全者慎用。2.对本品过敏者禁用，过敏体质者慎用超侬葡萄糖酸钙口服溶液。3.本品性状发生改变时禁止使用。4.请将本品放在儿童不能接触的地方。5.儿童必须在成人监护下使用。6.如正在使用其他药品，使用本品前请咨询医师或药师。
"小儿感冒颗粒
                    ",疏风解表，清热解毒。用于小儿风热感冒，症见发热、头胀痛、咳嗽痰黏、咽喉肿痛；流感见上述证候者。,"
                        规格：12g*9袋
                    ","广藿香、菊花、连翘、大青叶、板蓝根、地黄、地骨皮、白薇、薄荷、石膏。辅料为蔗糖、糊精
                        ",1.忌辛辣、生冷、油腻食物。2.不宜在服药期间同时服用滋补性中药。3.婴儿应在医师指导下服用。4.风寒感冒者不适用。5.糖尿病患儿、脾虚易腹泻者应在医师指导下服用。6.发热体温超过38.5℃的患者，应去医院就诊。7.服药3天症状无缓解，应去....,开水冲服。一岁以内一次6克，一岁至三岁一次6～12克，四岁至七岁一次12～18克，八岁至十二岁一次24克，一日2次。,['无']
"小儿麻甘颗粒
                    ",平喘止咳，利咽祛痰。用于小儿肺炎喘咳，咽喉炎症。,"
                        规格：2.5g*10袋
                    ","石膏、麻黄、黄芩、桑白皮、紫苏子、苦杏仁、地骨皮、甘草。
                        ",尚不明确。,"口服,小儿一岁以下，一次0.8g，一至三岁，一次1.6g，四岁以上，一次2.5g；一日4次。",尚不明确。
