name,comp,chara,main_bene,adap_ill,usage,pre_cares
"金葡素注射液
                    ",本品对因放化疗而致的白细胞减少具有一定的保护作用，可用于恶性肿瘤病人放化疗的辅助治疗。另可用于骨折延迟愈合和不愈合。,"
                        规格：2ml/支
                    ","肠毒素 C 、蛋白质、多肽、十八种氨基酸。
                        ",可见全身发热反应或局部肿痛。,"(1）恶性肿瘤放化疗病人：肌肉注射，一日一次，一次一支，每支2ml,30天为一个疗程或遵医嘱。与放化疗同时使用。",有过敏史者慎用或不用
"贞芪扶正颗粒
                    ",有提高人体免疫功能，保护骨髓和肾上腺皮质功能；用于各种疾病引起的虚损；配合手术、放射线、化学治疗，促进正常功能的恢复。,"
                        规格：每袋装15克。
                    ","黄芪，女贞子
                        ",尚不明确。,口服，一次1袋，一日2次。,尚不明确。
"贞芪扶正颗粒
                    ",有提高人体免疫功能，保护骨髓和肾上腺皮质功能；用于各种疾病引起的虚损；配合手术、放射线、化学治疗，促进正常功能的恢复。,"
                        规格：每袋装5克。
                    ","黄芪、女贞子
                        ", 尚不明确。, 口服，一次1袋，一日2次。,尚不明确。
"肿节风片
                    ",清热解毒、消肿散结。用于肺炎、阑尾炎、蜂窝组织炎属热毒壅盛证侯者，并可用于癌症辅助治疗。,"
                        规格：0.4g*24片
                    ","肿节风。
                        ",尚不明确。,口服。一次4片，一日3次。,1、极个别患者出现皮肤丘疹、麻疹样皮疹等反应。
"甘露聚糖肽口服溶液
                    ",用于免疫功能低下、反复呼吸道感染、白细胞减少症和再生障碍性贫血及肿瘤的辅助治疗，减轻放、化疗对造血系统的副作用。,"
                        规格：10ml:10mg*10支
                    ","甘露聚糖肽。
                        ",少数患者有一过性发热，偶见皮疹。,口服。成人一日2次，一次10ml（1支）。4～6周为一疗程，或遵医嘱。,过敏性体质者慎用。
"醋酸泼尼松片
                    ",主要用于过敏性与自身免疫性炎症性疾病。适用于结缔组织病，系统性红斑狼疮，重症多肌炎，严重的支气管哮喘，皮肌炎，血管炎等过敏性疾病，急性白血病，恶性淋巴瘤。,"
                        规格：5mg*100片
                    ","醋酸泼尼松。化学名：17α，21-二羟基孕甾-1，4-二烯－3，11，20-三酮21-醋酸酯分子式：C23H28O6分子量：400.47
                        ",本品较大剂量易引起糖尿病、消化道溃疡和类库欣综合征症状，对下丘脑-垂体-肾上腺轴抑制作用较强。并发感染为主要的不良反应。,口服一般一次5~10mg（1~2片），一日10~60mg（2~12片）。必要时酌量增减，由医生决定。1.对于系统性红斑狼疮、肾病综合症、溃疡性结肠炎、自身免疫性溶血性贫血等自身免疫性疾病，可给每日40-60mg，病情稳定后逐渐减量。2.对药....,1.结核病、急性细菌性或病毒性感染患者慎用。必要应用时，必须给予适当的抗感染治疗。2.长期服药后，停药前应逐渐减量。3.糖尿病、骨质疏松症、肝硬化、肾功能不良、甲状腺功能低下患者慎用。4.对有细菌、真菌、病毒感染者，应在应用足量敏感抗生素的....
"贞芪扶正胶囊
                    ",补气养阴，用于久病虚损，气阴不足。配合手术、放射治疗、化学治疗，促进正常功能的恢复。,"
                        规格：60粒(扶正胶囊剂)
                    ","女贞子、黄芪。
                        ",尚不明确。,口服，一次6粒，一日2次。,尚不明确。
"奥美拉唑肠溶胶囊
                    ",适用于胃溃疡、十二指肠溃疡、应激性溃疡、反流性食管炎和卓-艾综合征(胃泌素瘤),"
                        规格：20mg*14粒（卫舒康宁）
                    ","奥美拉唑
                        ",1.本品常见不良反应为：头痛、腹泻、恶心、呕吐、便秘、腹痛及腹胀。偶见头晕、嗜睡、乏力、睡眠紊乱、感觉异常、皮疹、瘙痒、荨麻疹、肝功能试验异常等。2.罕有多汗、周围血管性水肿、低钠血症；血管水肿、发热及过敏性休克；白细胞减少症、血小板减少症....,口服，不可咀嚼。(1)消化性溃疡：一次20mg(一次l粒)，一日l-2次。每日晨起吞服或早晚各1次，胃溃疡疗程通常为4-8周，十二指肠溃疡疗程通常2-4周。(2)反流性食管炎：一次20-60mg(一次1-3粒)，一日1-2次。晨起吞服或早晚....,(1)治疗胃溃疡时，应首先排除溃疡型胃癌的可能性，因用本品治疗可缓解其症状，从而延误治疗。(2)肝肾功能不全者慎用。(3)本品为肠溶胶囊，服用时注意不要嚼碎，以免药物在胃内过早释放而影响疗效。
"云南花粉片
                    ","具有提高免疫机能、增强体力、促进生长发育、提高骨髓造血功能，降低血脂及减轻放射损伤等作用。适用于体弱多病，作滋补药。用于血液病，高脂血症,职业性苯、铅中毒及尘肺等的辅助治疗。","
                        规格：0.63g*180片
                    ","荞麦花粉、油菜花粉。
                        ",尚不明确。,口服，一次6-12片(片重0.3g)，或4-8片(片重0.5g)，一日3次。儿童酌减。,对花粉过敏、哮喘者忌服。
"妥布霉素地塞米松滴眼液
                    ",1.对肾上腺皮质激素有反应的眼科炎性病变及眼部表面的细菌感染或有感染危险的情况；2.眼用激素用于眼睑、球结膜、角膜、眼球前段组织及一些可接受激素潜在危险性的感染性结膜炎等炎性疾病，可以减轻水肿和炎症反应。它们也适用于慢性前葡萄膜炎、化学性、....,"
                        规格：5ml：15mg：5mg(百仕妥)
                    ","本品为白色或类白色混悬液体。
                        ",1.激素和抗菌药联合药物的不良反应既可来自激素成分，也可来自抗菌药成分，或者二者的联合使用。没有准确的不良反应发生率的资料。眼用妥布霉素（托百士）可出现与局部用其它氨基糖苷类抗生素类似的反应。最常见的不良反应有：局部的眼毒性和过敏反应，包括....,1.每4至6小时一次，每次1至2滴滴入结膜囊内。在最初1－2天剂量可增加至每2小时1次。根据临床征象的改善逐渐减少用药的频度，注意不要过早停止治疗。用前摇匀。2.第一次开处方不能超过20毫升滴眼液。,1.不能用于眼部注射。一些患者可能对局部使用的氨基糖苷类药物过敏，如果发生过敏则应停药；2.长期使用眼部激素可导致青光眼、损害视神经、视力下降、视野缺损、后囊下形成白内障。使用过程中应该常规的监测眼压，甚至是眼压测量困难的儿童和不合作的患者....
