name,comp,chara,main_bene,adap_ill,usage,pre_cares
"赖氨葡锌颗粒
                    ",用于防治小儿及青少年因缺乏赖氨酸和锌而引起的疾病。,"
                        规格：盐酸赖氨酸125mg、葡萄糖酸锌35mg（相当于锌5mg）
                    ","本品为复方制剂，每包含盐酸赖氨酸125毫克，葡萄糖酸锌35毫克（相当于锌5毫克）。辅料为枸橼酸、糊精、甜菊糖甙。
                        ",可见轻度恶心、呕吐、便秘等反应,口服。1-6个月新生儿一日0.5包；7-12个月儿童一日1包；1-10岁儿童一日2包；10岁以上儿童及成人，一日3包；孕妇一日4包；哺乳期妇女一日5包。,1.应按推荐剂量服用，在使用过程中用温开水溶解并搅拌2-3分钟，溶解后服用。
"参术儿康糖浆
                    ",健脾和胃，益气养血。用于脾胃虚弱所致的小儿疳积，食欲不振，睡眠不安，多汗及营养不良性贫血。,"
                        规格：每瓶装10毫升
                    ","白术（麸炒） 、茯苓、山楂（炒） 、山药（炒） 、白扁豆（炒） 、六神曲（炒） 、麦芽（炒） 、炙黄芪、太子参、蜂王浆、 制何首乌、当归等16昧。
                        ",尚不明确。,口服，二岁以下一次10~15毫升;三至四岁一次20毫升;五至六岁一次30毫升，一日3次。,1.忌食生冷油腻及不易消化食物。2.婴儿应在医师指导下服用。3.感冒时不宜服用。4.长期厌食，体弱消瘦者，应去医院就诊。5.患儿如自汗多、夜寐易惊、睡少等应注意是否为佝偻病，以免延误治疗。6.服药7天症状无缓解，应去医院就诊。7.对本品过敏....
"维生素B1片
                    ",用于预防和治疗维生素B1缺乏症，如脚气病、神经炎、消化不良等。,"
                        规格：10mg*1000片
                    ","本品每片含主要成份维生素B110毫克。辅料为：淀粉、糊精、枸橼酸、乙醇、6%淀粉浆、硬脂酸镁。
                        ",推荐剂量的维生素B1几乎无毒性，过量使用可出现头痛、疲倦、烦燥、食欲缺乏、腹泻、浮肿。,口服，成人，一次1片，一日3次。,1、必须按推荐剂量服用，不可超量服用。
"灵芝二维甲硫氨酸胶囊
                    ",用于病后虚弱，食欲不振，体重减轻，用脑过度，神经衰弱等症，并用于冠心病，慢性肝炎，支气管哮喘，贫血，风湿性关节炎，胃溃疡等慢性疾病的辅助治疗。,"
                        规格：30粒
                    ","本品为复方制剂，其组分为：每粒含甲硫氨酸25mg、灵芝浸膏12.5mg、维生素B12mg、维生素B21mg。
                        ",1.尿液可能呈现黄色；2.偶见轻度嗜睡；3.偶可引起恶心、呕吐。,口服，一次1～2粒，一日1～2次。,对诊断的干扰：尿中荧光测定儿茶酚胺浓度可呈现假性增高，尿胆原测定呈假阳性。
"鱼肝油乳
                    ",用于预防和治疗成人维生素A和D缺乏症。,"
                        规格：400ml
                    ","详见说明书
                        ",长期或过量服用，可产生慢性中毒。早期表现为骨关节疼痛、肿胀、皮肤瘙痒、口唇干裂、发热、头痛、呕吐、便秘、腹泻、恶心等。,口服。预防：成人一日15毫升，分1-2次以温开水调服；治疗：成人一日35-65毫升，分1-3次以温开水调服，服用1-2周后剂量可减至一日15毫升，分1-2次服用。,.补充维生素A或D应采用预防量，必须按推荐剂量服用，不可超量服用。治疗剂量必须由医师确诊为维生素A、D缺乏症后，在医师指导下使用。2.高钙血症孕妇可伴有维生素D敏感，功能上又能抑制甲状旁腺活动，以致婴儿有特殊面容、智力低下及患遗传性主动脉弓....
"多维元素胶囊(15)
                    ",用于预防和治疗因缺乏维生素与矿物质所引起的各种疾病。,"
                        规格：15粒*2板
                    ","本品为复方制剂。每粒含维生素A1000单位，维生素D2400单位，维生素E10毫克，维生素B15毫克，维生素B22毫克，维生素B62毫克，维生素C30毫克，维生素B125微克，富马酸亚铁35毫克，硫酸镁5毫克，硫酸铜0.5毫克，硫酸锌1毫克，硫酸锰1毫克，碘化钾0.16毫克，烟酰胺20毫克。
                        ",尚不明确。,口服。一次1粒，一日1～2次。,1.应按推荐剂量服用。2.儿童用量请咨询医师。3.对本品过敏者禁用，过敏体质者慎用。4.本品性状发生改变时禁止使用。5.请将本品放在儿童不能接触的地方。6.儿童必须在成人监护下使用。7.如正在使用其他药品，使用本品前请咨询医师或药师。
"银蜜片
                    ",增加冠脉血流量，降低冠阻力，改善心肌缺血，止咳化痰，镇静安眠，提高机体免疫力。用于冠心病，慢性支气管炎，神经衰弱等症。,"
                        规格：0.25g*48片
                    ","银耳耳基粉、天麻蜜环菌粉。
                        ",尚不明确。,口服，一次4-5片，一日3次，或遵医嘱。,尚不明确。
"复方大蒜油胶囊
                    ",具有降低血脂，降低血液粘稠度，抑制血小板聚集，防止动脉粥样硬化性心脑血管疾病；提高人体免疫力，具有现著的防癌，抗癌作用，还可用于痢疾，急慢性肠炎等。,"
                        规格：0.3g*28粒
                    ","大蒜油、昆布、薏苡仁。
                        ",尚不明确。,一次1粒，一日2次，饭后服用。,请遵医嘱。
"牛磺酸滴眼液
                    ",用于牛磺酸代谢失调引起的白内障。也可用于急性结膜炎、疱疹性结膜炎、病毒性结膜炎的辅助治疗。,"
                        规格：8ml
                    ","详见说明书
                        ",1.第一次使用本品前应咨询医师，治疗期间应定期到医院检查。2.若出现充血、眼痒、水肿等症状，应停药就医。3.打开后应在4周内用完，逾期请勿使用。4.滴眼时请勿使管口接触手和眼睛，使用后应将瓶盖拧紧，以免污染药液。5.对本品过敏者禁用，过敏体....,滴眼，一次1-2滴，一日3-5次。,['无']
"二十五味大汤丸
                    ",清热解毒，调和龙、赤巴、培根，开胃，愈溃疡，止血。用于&quot;木布&quot;病引起的胃肠溃疡出血，亦可用于陈旧热症，久病不愈的身倦体重，胃肝区疼痛，食欲不振，月经过多，鼻衄。,"
                        规格：0.5g*9丸*2板
                    ","红花、诃子(去核)、余甘子(去核)、波棱瓜子、渣驯膏、甘青青兰、獐牙菜、兔耳草、唐古特乌头、乌奴龙胆、绿绒蒿、巴夏嘎等二十五味。
                        ",尚不明确。,口服。一次3-4丸，一日3次。,1．饮食宜清淡，忌食辛辣、生冷、油腻食物。2．忌情绪激动及生闷气。3．患有消化性溃疡病人，出现胃脘痛应去医院就诊，并在医生指导下服用。4．服药3天症状无缓解，应去医院就诊。5．严格按用法用量服用，儿童、年老体弱者应在医师指导下服用。6．对该....
