name,comp,chara,main_bene,adap_ill,usage,pre_cares
"赞化鹿茸丸
                    ",补气养血，扶肾壮阳，调经祛寒。用于诸虛百损，心肾不交，阳痿不举，疝气腹痛，女子带下，胞寒不育，腰腿酸痛，,"
                        规格：9g*20丸
                    ","鹿茸（去毛）、当归、酸枣仁（炒）、鹿角霜、柏子仁、熟地黄、肉效蓉、鹿角胶、黄芪、附子（制）
                        ",尚不明确。,口服，一次1丸，一日2次,运动员慎用。
"固本延龄丸
                    ",固本培元，滋阴，补髓填精，强壮筋骨。用于虚劳损伤，腰痛体倦，心悸失眠，肌肤憔悴，须发早白，经血不调，食欲不振。,"
                        规格：每丸重9克
                    ","人参、麦冬、五味子、天冬、地黄、熟地黄、山药、泽泻、茯苓、牛膝、山茱萸、杜仲、木香、远志、柏子仁、巴戟天（盐制）、花椒、石菖蒲、丹参、肉苁蓉、枸杞子、覆盆子、地骨皮、鹿角胶、菟丝子、鱼鳔珠、珍珠、狗鞭。辅料为：蜂蜜。
                        ",尚不明确,早空腹用淡盐水送服。一次1丸，一日1次。,1、忌油腻食物。
"固本延龄丸
                    ",固本培元，滋阴，补髓填精，强壮筋骨。用于虚劳损伤，腰痛体倦，心悸失眠，肌肤憔悴，须发早白，经血不调，食欲不振。开心益智。延年益寿,"
                        规格：每瓶重9克
                    ","人参、麦冬、五味子、天冬、地黄、熟地黄、山药、泽泻、茯苓、牛膝、山茱萸、杜仲、木香、远志、柏子仁、巴戟天（盐制）、花椒、石菖蒲、丹参、肉苁蓉、枸杞子、覆盆子、地骨皮、鹿角胶、菟丝子、鱼鳔珠、珍珠、狗鞭。辅料为：蜂蜜。
                        ",尚不明确,早空腹用淡盐水送服。一次1瓶，一日1次,1、忌油腻食物。
"妇炎消胶囊
                    ",苗医:蒙凯:嘎井朗罗，巢窝蒙秋，布发讲港中医:清热解毒，行气化瘀，除湿止带。用于湿热所致的带下，痛经。,"
                        规格：每粒装0.45克
                    ","酢浆草、败酱草、天花粉、大黄、牡丹皮、苍术、乌药
                        ",个别患者偶有轻微腹泻，停药后可自行消失,口服，一次3粒，一日3次；经期无需停药,1.禁食辛辣、生冷、油腻食物。
"盐酸达泊西汀片
                    ",本品适用于治疗符合下列所有条件的18至64岁男性早泄（PE）患者：,"
                        规格：按C21H23NO计：30mg
                    ","本品主要成份为盐酸达泊西汀，辅料：纤维素-乳糖、交联羧甲纤维素钠、二氧化硅、硬脂酸镁、薄膜包衣预混剂
                        ",在临床试验中已报道晕厥和直立性低血压的不良反应,口服。药片应整片吞下。建议患者至少用一满杯水送服药物。患者应尽量避免晕厥或头晕等前驱症状所引起的受伤。,本品仅用于患有早泄的男性患者。本品在未患有早泄的男性中的安全性尚不明确，同时，尚无有关本品在该人群中延迟射精作用的数据。
"对乙酰氨基酚口腔崩解片
                    ",用于普通感冒或流行性感冒引起的发热。也用于缓解轻至中度疼痛，如头痛、牙痛、神经痛、肌肉痛、痛经及关节痛等,"
                        规格：0.125g
                    ","本品每片含主要成分为对乙酰氨基酚160mg。辅料为：甘氨酸、乳糖、微晶纤维素、阿斯巴甜、枸橼酸、交联羧甲基纤维素钠、滑石粉、聚维酮(PVP)、食用香精和食用色素。
                        ",1.常规剂量下，不良反应较少，偶尔可引起恶心、呕吐、出汗、腹痛、皮肤苍白等，很少引起胃肠道出血，偶见皮疹、荨麻疹、药热、白细胞减少、粒细胞缺乏、血小板减少、贫血等不良反应，长期大量用药会导致肝、肾功能异常。2.有报道，极少数患者使用对乙酰氨....,12岁以上儿童及成人一次4片，6~12岁儿童一次2片，4~6岁儿童（体重12~14公斤）一次1.5片，2~3岁儿童（体重16~20公斤）一次1片，若持续高热或疼痛，可间隔4~6小时重复用药一次，24小时内不超过4次。婴幼儿及儿童使用本品时，....,1.本品为对症治疗药，用于解热连续应用不得超过3天，用于止痛不得超过5天，症状未缓解请咨询医师或药师。2.不能同时服用含有对乙酰氨基酚及其他解热镇痛药的药品（如某些复方抗感冒药）。3.肝肾功能不全患者、老年患者慎用。4.孕妇及哺乳期妇女应在....
"米索前列醇阴道片
                    ",本品适用于妊娠足月（从妊娠第37周开始）时促宫颈成熟和引产，其宫颈Bishop评分小于或等于6分，单胎头先露，有引产指征且无母婴禁忌症的初产妇。,"
                        规格：25μg
                    ","米索前列醇
                        ",在本品一项随机、双盲、安慰剂对照的验证性临床试验中（参见【临床试验】），评价了本品（试验组）与安慰剂（对照组）用于足月妊娠促宫颈成熟和引产的安全性。本品不良反应发生率为9.14%（16例17件，16/175），安慰剂为6%（3例3件，3/5....,外阴消毒后，将1片本品放置阴道后穹窿处，给药后密切监测胎心和宫缩情况（频率、持续时间和强度）以及子宫颈成熟情况，每次给药间隔不得小于4小时，通常为4小时或6小时，或遵医嘱。第3次给药应特别慎重。每次给药前应重新评估宫颈条件。本品最多使用3次....,['无']
"定坤丹
                    ",滋补气血，调经舒郁。用于气血两虚、气滞血瘀所致的月经不调、行经腹痛。,"
                        规格：每120丸重7克（相当于饮片4.78克，含复方滇鸡血藤膏0.25克）
                    ","红参、鹿茸、西红花、三七、酒白芍、熟地黄、当归、麸炒白术、枸杞子、黄芩、醋香附、炒茺蔚子、川芎、鹿角霜、阿胶、醋延胡索、茯苓、炒益母草、醋五灵脂、酒柴胡、盐砂仁、细辛、肉桂、乌药、复方滇鸡血藤膏、炙甘草、川牛膝、杜仲炭、姜炭、百草霜、沉香。辅料：蜂蜜。
                        ",本品有恶心、呕吐、皮疹、瘙痒等不良反应报告。,口服。一次3.5~7克（按瓶身刻度标识分剂量使用），一日2次；或遵医嘱。,1．忌生冷油腻及刺激性食物。
"香芍颗粒
                    ",疏肝理气，除胀止痛，佐以和胃。用于(1)经前期紧张综合征肝气逆证。症见：经前烦躁易怒，乳房胀痛、头痛、失眠多梦、小腹胀痛、胃脘胀痛、恶心呕吐等。(2)更年期综合征阴虚肝旺证。症见：烘热汗出，烦躁易怒、失眠、心悸、肋痛、健忘、头晕耳呜、舌红苔....,"
                        规格：每袋装4克
                    ","白芍、香附、川楝子(炒)、柴胡、川芎、枳壳、半夏(姜制)、豆蔻、木香、甘草。辅料为：蔗糖、倍他环糊精、糊精。
                        ",少数患者可有胃痛、恶心等消化道反应，个别病例出现乳房胀痛，一般不影响继续治疗。个别病例分别出现胸闷、带下量多，浮肿、研究者判断与本品“可能无关”。,温开水冲服：(1)经前期紧张综合征患者一次1袋、一日3次。月经来潮前10天开始服用，连服10天。两个月经周期为一个疗程。(2)更年期综合征患者一次1袋，一日3次，8周为一个疗程。,1、忌食辛辣、生冷、少进油腻食物。
"磷霉素氨丁三醇散
                    ",主要针对于男女生殖泌尿系感染，如支原体、衣原体、淋菌性、非淋菌性、滴虫性、细菌性、霉菌性、念球菌等引起的各种泌尿生殖感染；尿道炎、急慢性前列腺炎、睾丸炎、包皮炎、龟头炎、膀胱炎、疱疹、湿疣、肾盂肾炎；对阴道炎、盆腔炎、宫颈炎（糜烂）、子宫内....,"
                        规格：3g(300万单位)（按C3H7O4P计算）
                    ","本品成份磷霉素氨丁三醇。

                        ",1.主要为轻度为胃肠道反应，如恶心、纳差、中上腹不适、稀便或轻度腹泻，一般不影响继续用药。 2.偶可发生皮疹、嗜酸性粒细胞增多、周围血象红细胞、血小板一过性降低、白细胞降低、血清氨基转移酶一过性升高、头晕、头痛等反应。 3.注射部位静脉炎。....,服用方法：服用前，倒入适量饮用水，摇晃让粉剂充分溶解，即可直接服用。 1 瓶 / 天。,1. 肝病患者慎用。
"葡萄糖酸钙口服溶液(无糖型)
                    ",用于预防和治疗钙缺乏症，如骨质疏松、手足抽搐症、骨发育不全、佝偻病以及儿童、妊娠和哺乳期妇女、绝经期妇女、老年人钙的补充。,"
                        规格：无糖型 10ml*20支 
                    ","每毫升含主要成份葡萄糖酸钙100mg(相当于钙9mg)，辅料为乳酸，氢氧化钙，阿司帕坦，香精。
                        ",偶见便秘。,口服。一次10～20毫升，一日3次。,1.心肾功能不全者慎用。2.对本品过敏者禁用，过敏体质者慎用超侬葡萄糖酸钙口服溶液。3.本品性状发生改变时禁止使用。4.请将本品放在儿童不能接触的地方。5.儿童必须在成人监护下使用。6.如正在使用其他药品，使用本品前请咨询医师或药师。
"硝酸咪康唑栓
                    ",局部治疗念珠菌性外阴阴道病和革兰阳性细菌引起的双重感染。,"
                        规格：0.2g*10粒
                    ","硝酸咪康唑
                        ",偶见过敏反应，多数较轻微。常见的不良反应是局部刺激、瘙痒和灼热感，尤其在治疗开始时。盆腔痉挛、荨麻疹、皮肤丘疹也有发生。,阴道给药，洗净后将栓剂置于阴道深处。每晚1次，一次1枚。连续7天为一疗程。也可采用三日疗法：第一日晚1枚，随后三日早晚各1枚。即使症状迅速消失，也要完成治疗疗程，在月经期应持续使用。,1.孕妇及哺乳期妇女慎用。2.无性生活史的女性应在医师指导下使用。3.用药期间注意个人卫生，防止重复感染，避免房事。4.给药时应洗净双手或戴指套或手套。5.用药部位如有烧灼感、瘙痒、红肿等情况应停药，并将局部药物洗净，必要时向医师咨询。6.....
"氨酚帕马溴片
                    ",本品适用于暂时性缓解经前期及月经期间的腹痛、头痛、水肿、肿胀等经前期综合征不适症状。,"
                        规格：6粒
                    ","本品为复方制剂，其组分为：每片含对乙酰氨基酚500mg和帕马溴25mg。
                        ",临床试验期间常见的与氨酚帕马溴相关的不良事件为：恶心、呕吐、嗜睡、头晕、腹泻、腹痛、无力、月经提前等；少数病例可发生过敏性皮炎（皮疹、皮肤瘙痒等）、白细胞减少。转氨酶升高。对乙酰基酚在临床使用中偶尔可引起恶心、呕吐、出汗、腹痛、皮肤苍白等，....,成人及12岁以上儿童为每次2片，一日3次，或遵医嘱。12岁以下的未成年人禁用。,1.肝肾功能不全者、心脏疾患者酌情减量使用或慎用。2.不得与单胺氧化酶抑制制剂同用。3.对阿司匹林过敏者一般对本品不发生过敏反应。但有报告在因阿司匹林过敏发生哮喘的病人中，少数病人可在服用本品后发生支气管痉挛。4.酒精中毒、患肝病或病毒性肝....
"当归片
                    ",补血活血，调经止痛。用于血虚引起的面色萎黄，眩晕心悸，月经不调，痛经。,"
                        规格：36片
                    ","本品为当归经加工制成的浸膏片。
                        ",尚不明确。,口服。一次3～4片，一日3次。,1.忌食寒凉、生冷食物。2.孕妇服用时请向医师咨询。3.感冒时不宜服用本药。4.月经过多者不宜服用本药。5.平素月经正常，突然出现月经量少，或月经错后，或阴道不规则出血应去医院就诊。6.按照用法用量服用，长期服用应向医师咨询。7.服药2周症....
"白带丸
                    ",清热，除湿，止带。用于湿热下注所致的带下病，症见带下量多、色黄、有味。,"
                        规格：6g*10袋
                    ","主要成分为黄柏(酒炒)、椿皮、白芍、当归、香附(醋制)。
                        ",尚不明确。,口服。一次6克，一日2次。,1.忌辛辣、生冷、油腻食物。2.有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。3.少女、孕妇、绝经后患者均应在医师指导下服用。4.伴有赤带者，应去医院就诊。5.服药2周症状无缓解，应去医院就诊。6.对本品过敏者禁用，....
"保胎无忧胶囊
                    ",安胎，养血。用于闪挫伤胎，习惯性小产，难产。,"
                        规格：400mg*36粒
                    ","黄芪、艾叶(炭)、当归(酒制)、白芍(酒制)、川芎、菟丝子(酒泡)、枳壳(麸炒)、厚朴(姜制)、川贝母、荆芥(炭)、羌活、甘草。
                        ",尚不明确。,鲜姜汤送服，一次4~6粒，一日2~3次。,1.忌食鱼类。2.未见本品对子代安全性研究资料。请在医生指导下用药。
"龟甲胶
                    ",滋阴，养血，用于阴虚潮热，骨蒸盗汗，腰膝酸软，血虚萎黄、崩漏,"
                        规格：250g
                    ","龟甲。辅料为冰糖、黄酒、豆油。
                        ",尚不明确。,烊化兑服，3～9克。,1.凡脾胃虚弱，呕吐泄泻，腹胀便溏、咳嗽痰多者慎用。2.本品宜饭前服用。3.按照用法用量服用，小儿应在医师指导下服用。4.服药二周或服药期间症状无改善，或症状加重，或出现新的严重症状，应立即停药并去医院就诊。5.对本品过敏者禁用，过敏体质者....
"益母草颗粒
                    ",活血调经。用于血瘀所致的月经不调，症见经水量少。,"
                        规格：15g*10袋（晁氏）
                    ","益母草。辅料为蔗糖。
                        ",尚不明确。,开水冲服。一次1袋，一日2次。,1、忌食生冷食物。2、气血两虚引起的月经量少，色淡质稀，伴有头晕心悸，疲乏无力等不宜选用本药。3、有高血压、心脏病、肾病、糖尿病或正在接受其他治疗的患者均应在医师指导下服用。4、平素月经量正常，突然出现经量少，须去医院就诊。5、青春期少女及....
"益母草颗粒
                    ",?活血调经。用于血瘀所致的月经不调，症见经水量少。,"
                        规格：15g*12袋
                    ","益母草。辅料为蔗糖、糊精。
                        ",尚不明确。,开水冲服。一次1袋，一日2次。,1.忌食生冷食物。2.气血两虚引起的月经量少，色淡质稀，伴有头晕心悸，疲乏无力等不宜选用本药。3.有高血压、心脏病、肾病、糖尿病或正在接受其他治疗的患者均应在医师指导下服用。4.平素月经量正常，突然出现经量少，须去医院就诊。5.青春期少女及....
"盐酸加替沙星胶囊
                    ",用于由敏感病原体所致的慢性支气管炎急性发作，急性鼻窦炎、社区获得性肺炎、单纯性尿路感染(膀胱炎)和复杂性尿路感染、急性肾盂肾炎、男性淋球菌性尿路炎症或直肠感染和女性淋球菌性宫颈感染。,"
                        规格：0.1g*10粒
                    ","盐酸加替沙星。化学名：1-环丙基-6-氟-7-(3-甲基-1-哌嗪基)-8-甲氧基-1，4-二氢-4-氧代喹啉-3-羧酸盐酸盐。
                        ",本品的国内外临床试验中常见的不良反应为恶心、阴道炎、腹泻、头痛、眩晕。发生率较低的药物相关不良事件包括：全身反应：变态反应、寒战、发热、背痛和胸痛。心血管系统：心悸。消化系统：腹痛、便秘、消化不良、舌炎、念珠菌性口腔炎、口腔炎、口腔溃疡、呕....,感染(取决于病原菌)每日剂量疗程慢性支气管炎急性发作400mg7～10天急性鼻窦炎400mg10天社区获得性肺炎400mg7～14天非复杂性尿路感染400mg单剂或200mg3～5天复杂性尿路感染400mg7～10天急性肾盂肾炎400mg7....,"1.血糖异常已有报道加替沙星引起的血糖异常,包括症状性低血糖症和高血糖症。这些事件通常在糖尿病患者中发生。但是,低血糖症,特别是高血糖症已经在没有糖尿病病史的患者中产生。除了糖尿病以外,服用加替沙星时与血糖代谢异常相关的其他危险因素包括老年...."
