name,comp,chara,main_bene,adap_ill,usage,pre_cares
"倍长平考格列汀片
                    ",本品适用于改善成人2型糖尿病患者的血精控制。,"
                        规格：5 mg
                    ","甘露醇、微品纤维素、二丁基羟基甲苯、交联聚维酮、硬脂酸镁、薄膜包衣预混剂(胃溶型)。
                        ",安全性数据的汇总分析来源于两项为期52周的Ⅲ期临床试验，即一项本品单药治疗试验和一项本品与二甲双胍联合治疗试验，均包括24周的双自基础治疗期(单药研究为安慰剂对照，联合二甲双肌研究为利格列汀阳性对照)和 28周的开放延展治疗期(均统一服用本....,本品单药治疗或与二甲双胍联合治疗的推荐剂量为10mg，每两周(14天)一次，口服，不受进食限制。,本品不适用于1型糖尿病或糖尿病酮症酸中毒的患者。
"八子补肾胶囊
                    ",补肾，温阳。适用于肾阳不足所致的腰膝酸痛，头晕.头晕耳鸣.耳鸣，神疲健忘.健忘，体倦乏力.乏力，畏寒.畏寒肢冷。,"
                        规格：每粒装0.4g
                    ","菟丝子、枸杞子、五味子、蛇床子、金樱子、覆盆子、韭菜子、川楝子、淫羊藿、巴戟天、肉苁蓉、地黄、川牛膝、人参、鹿茸、海马。
                        ",尚未明确。,口服，一次2粒，一日3次。,1.忌辛辣、生冷、油腻食物。
"葡萄糖酸钙口服溶液(无糖型)
                    ",用于预防和治疗钙缺乏症，如骨质疏松、手足抽搐症、骨发育不全、佝偻病以及儿童、妊娠和哺乳期妇女、绝经期妇女、老年人钙的补充。,"
                        规格：无糖型 10ml*20支 
                    ","每毫升含主要成份葡萄糖酸钙100mg(相当于钙9mg)，辅料为乳酸，氢氧化钙，阿司帕坦，香精。
                        ",偶见便秘。,口服。一次10～20毫升，一日3次。,1.心肾功能不全者慎用。2.对本品过敏者禁用，过敏体质者慎用超侬葡萄糖酸钙口服溶液。3.本品性状发生改变时禁止使用。4.请将本品放在儿童不能接触的地方。5.儿童必须在成人监护下使用。6.如正在使用其他药品，使用本品前请咨询医师或药师。
"甘露聚糖肽口服溶液
                    ",用于免疫功能低下、反复呼吸道感染、白细胞减少症和再生障碍性贫血及肿瘤的辅助治疗，减轻放、化疗对造血系统的副作用。,"
                        规格：10ml:10mg*10支
                    ","甘露聚糖肽。
                        ",少数患者有一过性发热，偶见皮疹。,口服。成人一日2次，一次10ml（1支）。4～6周为一疗程，或遵医嘱。,过敏性体质者慎用。
"维D2磷酸氢钙片
                    ",用于儿童、孕妇及哺乳期妇女钙的补充。,"
                        规格：100片
                    ","每片含维生素D25单位，磷酸氢钙15毫克（相当于钙36毫克）。
                        ",偶见胃部不适、便秘等。,口服。成人及儿童一次1片，一日1次。,1.心肾功能不全者慎用。2.如服用过量或出现严重不良反应，应立即就医。3.对本品过敏者禁用，过敏体质者慎用。4.本品性状发生改变时禁止使用。5.请将本品放在儿童不能接触的地方。6.儿童必须在成人监护下使用。7.如正在使用其他药品，使用本品前....
"赖氨酸磷酸氢钙颗粒
                    ",本品用于促进幼儿正常生长发育，以及儿童及孕妇补充钙质。,"
                        规格：5g*10袋（为爱）
                    ","本品为复方制剂，每袋含盐酸赖氨酸0.5克，磷酸氢钙0.5克。辅料为：蔗糖。
                        ",钙剂按推荐剂量服用，少有不良反应，可有嗳气，便秘，腹部不适。少见的不良反应有高钙血症和肾结石，易发生于长期或大剂量服用或患有肾功能损害时，表现为厌食、恶心、呕吐，便秘，腹痛，肌肉软弱无力，心律失常、意识模糊、高血压以及骨石灰沉着等。长期服用....,口服。一次1袋，一日2次，温开水冲服。,1.慢性腹泻或胃肠道吸收功能障碍患者慎用。2.高氯血症、酸中毒及肾功能不全患者慎用。3.急性缺血性脑血管病患者慎用。4.心室颤动者慎用。5.服用洋地黄类药物期间慎用。6.长期或大剂量应用钙剂可致血清磷浓度降低。7.长期大量用药应定期测血清钙....
"二维葡磷钙咀嚼片
                    ",本品用于儿童、孕妇及哺乳期妇女钙质的补充。,"
                        规格：400片
                    ","二维葡磷钙
                        ",1.可见腹部不适及便秘。2.偶可发生高钙血症及肾功能不全。3.长期服用可致反跳性胃酸分泌增高。,口服。成人一次2片；儿童一次0.5~1片，一日3次，嚼碎后服用。,['无']
"丹参口服液
                    ",活血化淤、养心通脉。用于胸痹引起的心痛，心悸，胸闷，乏力以及轻度冠心病胸闷，心绞痛等症。,"
                        规格：10ml*12支
                    ","丹参。
                        ","偶见胃脘不适、恶心、口苦、口干,一般不影响治疗。",口服，一次10ml，一日3次。,1.孕妇及过敏体质者慎用。2.药品性状发生改变时禁止使用。3.请将此药品放在儿童不能接触的地方。
"牡蛎碳酸钙泡腾片
                    ",用于预防和治疗钙缺乏症，如骨质疏松、手足抽搐症、骨发育不全、佝偻病以及儿童、妊娠和哺乳期妇女、绝经期妇女、老年人钙的补充,"
                        规格：0.1g*30片*3瓶
                    ","本品主要成份为碳酸钙与氢氧化钙为主的钙化合物，每片含钙100毫克。辅料为环拉酸钠、苹果酸、富马酸、碳酸氢钠、阿司帕坦、聚维酮、香精
                        ",1．嗳气、便秘。2．偶可发生奶-碱综合征，表现为高血钙、碱中毒及肾功能不全（因服用牛奶及碳酸钙、或单用碳酸钙引起）。3．过量长期服用牡蛎碳酸钙泡腾片可引起胃酸分泌反跳性增高，并可发生高钙血症,口服。一次1~2片，一日3次，用温开水溶解后服用。,1.心肾功能不全者慎用。2.对本品过敏者禁用，过敏体质者慎用。3.本品性状发生改变时禁止使用。4.请将本品放在儿童不能接触的地方。5.儿童必须在***监护下使用。6.如正在使用其他药品，使用牡蛎碳酸钙泡腾片前请咨询医师或药师。7.肾结石患者....
"牡蛎碳酸钙胶囊
                    ",用于预防和治疗钙缺乏症，如骨质疏松、手足抽搐症、骨发育不全、佝偻病以及儿童、妊娠和哺乳期妇女、绝经期妇女、老年人钙的补充。,"
                        规格：100mg*90粒
                    ","牡蛎碳酸钙，辅料为淀粉。
                        ",1、嗳气、便秘。2、偶可发生奶-碱综合征，表现为高血钙、碱中毒及肾功能不全。（因服用牛奶及碳酸钙、或单用碳酸钙引起）。3、过量长期服用可引起胃酸分泌反跳性增高，并可发生高钙血症。,口服。一次100-200毫克（以钙计），一日3次。,1、心肾功能不全者慎用。2、对本品过敏者禁用，过敏体质者慎用。3、本品性状发生改变时禁止使用。4、请将本品放在儿童不能接触的地方。5、儿童必须在成人监护下使用。6、如正在使用其他药品，使用本品前请咨询医师或药师。7、肾结石患者应在医师指导下....
"归脾丸
                    ",益气健脾，养血安神。本品用于心脾两虚，气短心悸，失眠多梦，头昏头晕，肢倦乏力，食欲不振，崩漏便血。,"
                        规格：120g
                    ","党参，白术（炒），炙黄芪，茯苓，远志（制），酸枣仁（炒），龙眼肉，当归，木香，大枣（去核），炙甘草。
                        ",尚不明确。,口服，一次8-10丸，一日3次。,1.忌不易消化食物。2.感冒发热病人不宜服用。3.有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。4.儿童、孕妇、哺乳期妇女应在医师指导下服用。5.服药4周症状无缓解，应去医院就诊。6.对本品过敏者禁用，过敏体质者慎用....
