name,comp,chara,main_bene,adap_ill,usage,pre_cares
"近视乐眼药水
                    ",调节视力。用于治疗青少年假性近视和连续近距离使用视力所引起的眼疲劳。,"
                        规格：每瓶装8毫升
                    ","紫金龙。
                        ",1.本品为外用滴眼药，禁止内服。2.忌烟、酒、辛辣刺激性食物。3.平时有眼胀，头痛，虹视或青光眼等症状的患者慎用。4.眼部如有炎症或眼底病者应去医院就诊。5.用药后有眼痒，眼睑皮肤潮红，眼胀或过敏现象者停用，并到医院就诊。6.药物滴入后部分....,滴眼，一次1～2滴，一日3次；或一次1～2滴，滴后闭目休息5分钟，再滴，连续五次。,['无']
"健脑补肾丸
                    ",健脑补肾，益气健脾，安神定志。用于脾肾两虚所致的健忘、失眠、头晕目眩、耳鸣、心悸、腰膝痠软、遗精；神经衰弱见上述证候者。,"
                        规格：15丸×8袋、 15丸×12袋、 15丸×24袋
                    ","丸剂
                        ",尚不明确,口服，一次15丸，一日2次,1.忌油腻食物。 
"健脑补肾口服液
                    ",健脑补肾，益气健脾，安神定志。用于健忘失眠，头晕目眩，耳鸣心悸，腰膝酸软，神经衰弱。,"
                        规格：10×10毫升/支/盒。
                    ","人参、鹿茸、狗鞭、肉桂、金牛草、牛蒡子（炒）、金樱子、杜仲（炭）、川牛膝、金银花、连翘、蝉蜕、山药、远志（甘草水制）、酸枣仁（炒）、砂仁 、当归、龙骨（煅）、牡蛎、茯苓 、白术（麸炒）、桂枝、甘草 、白芍、豆蔻  辅料：蔗糖、山梨酸
                        ",尚不明确,口服，一次10毫升，一日2-3次,1.忌油腻食物。
"清热解毒口服液
                    ",清热解毒。用于热毒壅盛所致的发热面赤、烦躁口渴、咽喉肿痛;流感、上呼吸道感染  见上述证候者。,"
                        规格：每支装10毫升
                    ","石膏、金银花、玄参、地黄、连翘、栀子、甜地丁、黄芩、龙胆、板蓝根、知母、麦冬。
                        ",详见说明书,口服。一次10~20毫升，一日3次，儿童酌减;或遵医嘱,1.忌烟、酒及辛辣、生冷、油腻食物。
"炎宁糖浆
                    ",清热解毒，消炎止痢。用于上呼吸道感染，扁桃体炎，尿路感染，急性菌痢，肠炎,"
                        规格：每1ml相当于饮片3.125g
                    ","鹿茸草、白花蛇舌草、鸭跖草。
                        ",尚不明确。,口服。一次10ml，一日3~4次;儿童酌减,尚不明确。
"感冒止咳颗粒
                    ",清热解表，止咳化痰。用于外感风热所致的感冒，症见发热恶风、头痛鼻塞、咽喉肿痛、咳嗽、周身不适。,"
                        规格：每袋装3克(相当于饮片6克)
                    ","柴胡、山银花、葛根、青蒿、连翘、黄芩、桔梗、苦杏仁、薄荷脑。辅料为三氯蔗糖、倍他环糊精、糊精。

                        ",尚不明确。,开水冲服。一次1袋，一日3次。,1 忌烟、酒及辛辣、生冷、油腻食物。 2 不宜在服药期间同时服用滋补性中成药。 3 风寒感冒者不适用，其表现为恶寒重，发热轻，无汗，头痛，鼻塞，流清涕，喉痒咳嗽。 4 高血压、心脏病、肝病、肾病等慢性病严重者应在医师指导下服用。 5 服药三....
"麦味地黄口服液
                    ",滋肾养肺。用于肺肾阴亏，潮热盗汗，咽干，眩晕耳鸣，腰膝酸软,"
                        规格：每支装10毫升(无糖型)
                    ","麦冬、五味子、熟地黄、山茱萸(制)、牡丹皮、山药、茯苓、泽泻。辅料为阿司帕坦、苯甲酸钠。
                        ",尚不明确,口服，一次10毫升，一日2次。,1、忌油腻食物。
"地喹氯铵含片
                    ",用于急、慢性咽喉炎，口腔黏膜溃疡、齿龈炎。,"
                        规格：0.25mg
                    ","本品每片含地喹氯铵0.25毫克。辅料：蔗糖、乳糖、甜葡糖苷、枸橼酸、薄荷脑、硬脂酸镁、乙醇等。
                        ",1．罕见皮疹等过敏反应。2．偶见恶心、胃部不适。,口含，一次1-2片，每2-3小时1次，必要时可重复用药。,1.本品应逐渐含化，勿嚼碎口服。2.如服用过量或出现严重不良反应，应立即就医。3.对本品过敏者禁用，过敏体质者慎用。4.本品性状发生改变时禁止使用。5.请将本品放在儿童不能接触的地方。6.儿童必须在成人监护下使用。7.如正在使用其他药品，使....
"疏肝益阳胶囊
                    ","疏肝解郁，活血补肾。用于肝郁肾虑和肝郁肾虚兼血瘀证所致功能性阳痿和轻度动脉供血不足性阳痿。症见阳痿。阴茎痿软不举或举而不坚，胸闷善太息，胸胁胀满,腰膝酸软，舌淡或有瘀斑，","
                        规格：每粒装0.25克
                    ","蒺藜、柴胡、蜂房、地龙、水蛭、九香虫、紫梢花、蛇床子、远志
肉苁蓉、菟丝子、五味子、巴戟天、蜈蚣、石菖蒲。
                        ",尚不明确,口服。一次4粒，一日3次，4周为一疗程。,1.感冒期间停用。
"牙痛停滴丸
                    ",止痛消肿。用于风火牙痛，牙周炎及冠周炎引起的牙痛。,"
                        规格：每丸重40毫克。
                    ","荜茇、丁香、冰片，辅料为聚乙二醇6000、薄膜包衣预混剂、滑石粉。
                        ",本品可能引起口麻、流唾液、恶心等,一次2丸，置于患处，一日3次。,1.用药期间忌食酒、辛辣和油腻食物。
"头孢克洛干混悬剂
                    ",希刻劳“适用于治疗下列敏感菌株引起的感染：,"
                        规格：0.125g
                    ","本品活性成份为头孢克洛
                        ",与头孢克洛治疗有关的不良反应有：,希刻劳均由口服,一般注意事项：长期使用头孢克洛，会使不敏感菌株大量繁殖。因此，对病人细心观察是必不可少的。如果治疗期间发生二重感染，必须采取适当措施。
