name,comp,chara,main_bene,adap_ill,usage,pre_cares
"消银颗粒
                    ",清热凉血，养血润燥，祛风止痒。用于血热风燥型白疕和血虚风燥型白疕。症见皮疹为点滴状，基地鲜红色，表面覆有银白色鳞屑，或皮疹表面覆有较厚的银白色鳞屑，较干燥，基底淡红色瘙痒较深等。,"
                        规格：每袋装3.5g。(无糖型)
                    ","地黄、牡丹皮、赤芍、当归、苦参、金银花、玄参、牛蒡子、蝉蜕、白鲜皮、大青叶、红花、防风
                        ",消化系统：恶心、呕吐、腹胀、腹痛、腹泻、肝功能异常等；,开水冲服。一次3.5g，一日3次。一个月为一疗程。,①脾胃虚寒者慎用;
"固本延龄丸
                    ",固本培元，滋阴，补髓填精，强壮筋骨。用于虚劳损伤，腰痛体倦，心悸失眠，肌肤憔悴，须发早白，经血不调，食欲不振。,"
                        规格：每丸重9克
                    ","人参、麦冬、五味子、天冬、地黄、熟地黄、山药、泽泻、茯苓、牛膝、山茱萸、杜仲、木香、远志、柏子仁、巴戟天（盐制）、花椒、石菖蒲、丹参、肉苁蓉、枸杞子、覆盆子、地骨皮、鹿角胶、菟丝子、鱼鳔珠、珍珠、狗鞭。辅料为：蜂蜜。
                        ",尚不明确,早空腹用淡盐水送服。一次1丸，一日1次。,1、忌油腻食物。
"固本延龄丸
                    ",固本培元，滋阴，补髓填精，强壮筋骨。用于虚劳损伤，腰痛体倦，心悸失眠，肌肤憔悴，须发早白，经血不调，食欲不振。开心益智。延年益寿,"
                        规格：每瓶重9克
                    ","人参、麦冬、五味子、天冬、地黄、熟地黄、山药、泽泻、茯苓、牛膝、山茱萸、杜仲、木香、远志、柏子仁、巴戟天（盐制）、花椒、石菖蒲、丹参、肉苁蓉、枸杞子、覆盆子、地骨皮、鹿角胶、菟丝子、鱼鳔珠、珍珠、狗鞭。辅料为：蜂蜜。
                        ",尚不明确,早空腹用淡盐水送服。一次1瓶，一日1次,1、忌油腻食物。
"麝香活血化瘀膏
                    ",活血化瘀，消炎止痛。用于关节扭伤，软组织挫伤，急性腰扭伤，腰肌劳损，肩周炎，未溃冻疮，结节性红斑。,"
                        规格：7cm×10cm
                    ","人工麝香、三七、红花、丹参、硼酸、樟脑、血竭、尿素、颠茄流浸膏、盐酸苯海拉明、盐酸普鲁卡因。
                        ",尚不明确。,贴患处。二日更换1次。,尚不明确。
"医用退热贴
                    ",用于发热患者的局部降温。仅用于体表完整皮肤。,"
                        规格：50mm×120mm
                    ","本品由凝胶层、背衬层、盖衬层组成。凝胶层由纯化水、聚丙烯酸、酒石酸、杰马BP、亮蓝、甘油、AP-40F、交联聚维酮、羧甲基纤维素钠、聚丙烯酸钠、乙二胺四乙酸二钠、甘羟铝、二甲硅油、香精制成，背衬层为无纺布，盖衬层为聚丙烯薄膜。本品不含发挥药理学、免疫学或者代谢作用的成分。本品非无菌提供。
                        ",1、本品的使用对象为发热儿童、孕妇、成人及老人，儿童请在成人的监护下使用。,1、使用前请清洁贴敷部位皮肤，以免影响产品贴敷。,['无']
"复方倍氯米松樟脑乳膏
                    ",具有消炎、镇痛、止痒、抗苗、局部麻醉作用。用于虫咬皮炎、丘性荨麻疹、湿、接触性皮炎神经性皮炎、皮肤瘙痒。,"
                        规格：复方
                    ","本品为复方制剂，其组份为:每10克含薄荷脑0.35克、合成脑0.56克、水杨酸甲0.3克、冰片0.05克、麝香草酚0.025克、丙酸倍氣米松0.001克。辅料为:硬脂酸、单硬脂酸甘油酯、白凡士林、甘油、砂、三乙醇胺一甲形飙
                        ",偶见轻度红斑、丘疹和皮肤癌痒等刺激症状，若出现这些情况，应即用，必要时谓教医师。,外用，涂于忠处及周围，一日2-3次。,1.只限外用，避免接触眼睛及其他黏膜部位，严禁口服2.孕妇、哺乳期妇女慎用。3.15岁以下儿童使用本品请咨询医师，4.不宜大面积、长期使用，用药一周后症状未缓解，请咨询医师。5.连续使用不能超过4周，面部、腋下，腹股沟及外阴等皮肤细薄处连续....
"海龙胶口服液
                    ",温补肾阳。用于肾阳不足所致的腰酸足软，精神萎糜，面色无华,"
                        规格：20ml*24支/ 20ml*40支
                    ","海龙、黄明胶、当归、川芎、肉苁蓉、黄芪、白芍、肉桂、枸杞子、陈皮、甘草（辅料：蔗糖、黄酒、山梨酸）
                        ",尚不明确,口服，一次40毫升（2支），一日1-2次,1．忌辛辣、生冷、油腻食物。2．感冒发热病人不宜服用。3．本品宜饭前服用。4．高血压、心脏病、肝病、肾病等慢性病患者应在医师指导下服用。5．服药2周症状无缓解，应去医院就诊。6．对本品过敏者禁用，过敏体质者慎用。7．本品性状发生改变时禁止使....
"环酯红霉素干混悬剂（澳抒达）
                    ",本品主要适用于：,"
                        规格：0.15g*6袋
                    ","本品主要成份为环酯红霉素。化学名称：（2R,3S,4S,5R,6R,8R,9R,10R,11R,12S,13R)-3-[(2,6-二脱氧-3-C-甲基-3-O-甲基-α-L-核-己吡喃羰基)氧]-13-乙基-9-羟基-2，4，6，8,10,12-六甲基-5-[(3,4,6-三脱氧-3-(二甲胺基)-β-D-木-己吡喃羰基)氧]-14-氧杂十四元环-6,9-氧-1,9-二酮环11,12-碳酸酯。
                        ",本品的不良反应发生率较低，少数患者可能发生腹部不适、恶心、呕吐、腹泻、皮肤潮红、嗜酸粒细胞增多、发热，极少数患者可能发生可逆性听力损伤、伪膜性结肠炎、肝功能损伤。长期和反复使用本品可导致非敏感细菌(艰难梭菌)和霉菌(白色念珠菌)的过度生长。,将本品倒入杯中，加入适量凉开水，充分摇匀后口服。每12小时服用一次，空腹服用。,1.对本品及其他大环内酯类药物过敏者禁用。
"头孢克洛干混悬剂
                    ",希刻劳“适用于治疗下列敏感菌株引起的感染：,"
                        规格：0.125g
                    ","本品活性成份为头孢克洛
                        ",与头孢克洛治疗有关的不良反应有：,希刻劳均由口服,一般注意事项：长期使用头孢克洛，会使不敏感菌株大量繁殖。因此，对病人细心观察是必不可少的。如果治疗期间发生二重感染，必须采取适当措施。
"康复新液
                    ",通利血脉，养阴生肌。内服：用于瘀血阻滞，胃痛出血，胃、十二指肠溃疡；以及阴虚肺痨，肺结核的辅助治疗。外用：用于金疮、外伤、溃疡、瘘管、烧伤、烫伤、褥疮之创面。,"
                        规格：每瓶装10ml,50ml,100ml
                    ","美洲大蠊干燥虫体的乙醇提取物
                        ",尚不明确,口服，一次10ml，一日3次，或遵医嘱；外用用医用纱 布浸透药液后敷患处，感染创面先清创后再用本品冲 洗，并用浸透本品的纱布填塞或敷用,尚不明确
